id,visitor_id,user_id,timestamp,event_type,product_id,order_id_for_refund,is_recommended
1,visitor_1,,2026-01-01T00:00:00,view,1,,no
2,,1,2026-01-01T00:00:00,add_to_cart,2,,no
3,visitor_2,,2026-01-01T00:00:00,delete_from_cart,3,,no
4,,2,2026-01-01T00:00:00,quantity,4,,no
5,visitor_3,,2026-01-01T00:00:00,transaction,5,,yes
6,,3,2026-01-01T00:00:00,refund_request,,1,no
7,visitor_4,,2026-01-01T00:00:00,view,7,,no
8,,4,2026-01-01T00:00:00,add_to_cart,8,,no
9,visitor_5,,2026-01-01T00:00:00,delete_from_cart,9,,no
10,,5,2026-01-01T00:00:00,quantity,10,,yes
11,visitor_6,,2026-01-01T00:00:00,transaction,11,,no
12,,6,2026-01-01T00:00:00,refund_request,,2,no
13,visitor_7,,2026-01-01T00:00:00,view,13,,no
14,,7,2026-01-01T00:00:00,add_to_cart,14,,no
15,visitor_8,,2026-01-01T00:00:00,delete_from_cart,15,,yes
16,,8,2026-01-01T00:00:00,quantity,16,,no
17,visitor_9,,2026-01-01T00:00:00,transaction,17,,no
18,,9,2026-01-01T00:00:00,refund_request,,3,no
19,visitor_10,,2026-01-01T00:00:00,view,19,,no
20,,10,2026-01-01T00:00:00,add_to_cart,20,,yes
21,visitor_11,,2026-01-01T00:00:00,delete_from_cart,21,,no
22,,11,2026-01-01T00:00:00,quantity,22,,no
23,visitor_12,,2026-01-01T00:00:00,transaction,23,,no
24,,12,2026-01-01T00:00:00,refund_request,,4,no
25,visitor_13,,2026-01-01T00:00:00,view,25,,no
26,,13,2026-01-01T00:00:00,add_to_cart,26,,no
27,visitor_14,,2026-01-01T00:00:00,delete_from_cart,27,,no
28,,14,2026-01-01T00:00:00,quantity,28,,yes
29,visitor_15,,2026-01-01T00:00:00,transaction,29,,no
30,,15,2026-01-01T00:00:00,refund_request,,5,yes
31,visitor_16,,2026-01-01T00:00:00,view,31,,no
32,,16,2026-01-01T00:00:00,add_to_cart,32,,no
33,visitor_17,,2026-01-01T00:00:00,delete_from_cart,33,,no
34,,17,2026-01-01T00:00:00,quantity,34,,no
35,visitor_18,,2026-01-01T00:00:00,transaction,35,,yes
36,,18,2026-01-01T00:00:00,refund_request,,6,no
37,visitor_19,,2026-01-01T00:00:00,view,37,,no
38,,19,2026-01-01T00:00:00,add_to_cart,38,,no
39,visitor_20,,2026-01-01T00:00:00,delete_from_cart,39,,no
40,,20,2026-01-01T00:00:00,quantity,40,,yes
41,visitor_21,,2026-01-01T00:00:00,transaction,41,,no
42,,21,2026-01-01T00:00:00,refund_request,,7,no
43,visitor_22,,2026-01-01T00:00:00,view,43,,no
44,,22,2026-01-01T00:00:00,add_to_cart,44,,yes
45,visitor_23,,2026-01-01T00:00:00,delete_from_cart,45,,no
46,,23,2026-01-01T00:00:00,quantity,46,,no
47,visitor_24,,2026-01-01T00:00:00,transaction,47,,no
48,,24,2026-01-01T00:00:00,refund_request,,8,no
49,visitor_25,,2026-01-01T00:00:00,view,49,,no
50,,25,2026-01-01T00:00:00,add_to_cart,50,,yes
51,visitor_26,,2026-01-01T00:00:00,delete_from_cart,51,,no
52,,26,2026-01-01T00:00:00,quantity,52,,no
53,visitor_27,,2026-01-01T00:00:00,transaction,53,,no
54,,27,2026-01-01T00:00:00,refund_request,,9,no
55,visitor_28,,2026-01-01T00:00:00,view,55,,no
56,,28,2026-01-01T00:00:00,add_to_cart,56,,no
57,visitor_29,,2026-01-01T00:00:00,delete_from_cart,57,,no
58,,29,2026-01-01T00:00:00,quantity,58,,no
59,visitor_30,,2026-01-01T00:00:00,transaction,59,,yes
60,,30,2026-01-01T00:00:00,refund_request,,10,yes
61,visitor_31,,2026-01-01T00:00:00,view,61,,no
62,,31,2026-01-01T00:00:00,add_to_cart,62,,no
63,visitor_32,,2026-01-01T00:00:00,delete_from_cart,63,,no
64,,32,2026-01-01T00:00:00,quantity,64,,yes
65,visitor_33,,2026-01-01T00:00:00,transaction,65,,yes
66,,33,2026-01-01T00:00:00,refund_request,,11,no
67,visitor_34,,2026-01-01T00:00:00,view,67,,no
68,,34,2026-01-01T00:00:00,add_to_cart,68,,no
69,visitor_35,,2026-01-01T00:00:00,delete_from_cart,69,,no
70,,35,2026-01-01T00:00:00,quantity,70,,yes
71,visitor_36,,2026-01-01T00:00:00,transaction,71,,no
72,,36,2026-01-01T00:00:00,refund_request,,12,no
73,visitor_37,,2026-01-01T00:00:00,view,73,,no
74,,37,2026-01-01T00:00:00,add_to_cart,74,,no
75,visitor_38,,2026-01-01T00:00:00,delete_from_cart,75,,yes
76,,38,2026-01-01T00:00:00,quantity,76,,no
77,visitor_39,,2026-01-01T00:00:00,transaction,77,,no
78,,39,2026-01-01T00:00:00,refund_request,,13,no
79,visitor_40,,2026-01-01T00:00:00,view,79,,no
80,,40,2026-01-01T00:00:00,add_to_cart,80,,yes
81,visitor_41,,2026-01-01T00:00:00,delete_from_cart,81,,no
82,,41,2026-01-01T00:00:00,quantity,82,,no
83,visitor_42,,2026-01-01T00:00:00,transaction,83,,no
84,,42,2026-01-01T00:00:00,refund_request,,14,no
85,visitor_43,,2026-01-01T00:00:00,view,85,,no
86,,43,2026-01-01T00:00:00,add_to_cart,86,,no
87,visitor_44,,2026-01-01T00:00:00,delete_from_cart,87,,no
88,,44,2026-01-01T00:00:00,quantity,88,,yes
89,visitor_45,,2026-01-01T00:00:00,transaction,89,,no
90,,45,2026-01-01T00:00:00,refund_request,,15,yes
91,visitor_46,,2026-01-01T00:00:00,view,91,,no
92,,46,2026-01-01T00:00:00,add_to_cart,92,,no
93,visitor_47,,2026-01-01T00:00:00,delete_from_cart,93,,no
94,,47,2026-01-01T00:00:00,quantity,94,,no
95,visitor_48,,2026-01-01T00:00:00,transaction,95,,yes
96,,48,2026-01-01T00:00:00,refund_request,,16,no
97,visitor_49,,2026-01-01T00:00:00,view,97,,no
98,,49,2026-01-01T00:00:00,add_to_cart,98,,no
99,visitor_50,,2026-01-01T00:00:00,delete_from_cart,99,,no
100,,50,2026-01-01T00:00:00,quantity,100,,yes
101,visitor_51,,2026-01-01T00:00:00,transaction,101,,yes
102,,51,2026-01-01T00:00:00,refund_request,,17,no
103,visitor_52,,2026-01-01T00:00:00,view,103,,no
104,,52,2026-01-01T00:00:00,add_to_cart,104,,yes
105,visitor_53,,2026-01-01T00:00:00,delete_from_cart,105,,yes
106,,53,2026-01-01T00:00:00,quantity,106,,no
107,visitor_54,,2026-01-01T00:00:00,transaction,107,,no
108,,54,2026-01-01T00:00:00,refund_request,,18,no
109,visitor_55,,2026-01-01T00:00:00,view,109,,no
110,,55,2026-01-01T00:00:00,add_to_cart,110,,yes
111,visitor_56,,2026-01-01T00:00:00,delete_from_cart,111,,no
112,,56,2026-01-01T00:00:00,quantity,112,,no
113,visitor_57,,2026-01-01T00:00:00,transaction,113,,no
114,,57,2026-01-01T00:00:00,refund_request,,19,no
115,visitor_58,,2026-01-01T00:00:00,view,115,,no
116,,58,2026-01-01T00:00:00,add_to_cart,116,,no
117,visitor_59,,2026-01-01T00:00:00,delete_from_cart,117,,no
118,,59,2026-01-01T00:00:00,quantity,118,,no
119,visitor_60,,2026-01-01T00:00:00,transaction,119,,yes
120,,60,2026-01-01T00:00:00,refund_request,,10,yes
121,visitor_61,,2026-01-01T00:00:00,view,121,,no
122,,61,2026-01-01T00:00:00,add_to_cart,122,,no
123,visitor_62,,2026-01-01T00:00:00,delete_from_cart,123,,no
124,,62,2026-01-01T00:00:00,quantity,124,,yes
125,visitor_63,,2026-01-01T00:00:00,transaction,125,,yes
126,,63,2026-01-01T00:00:00,refund_request,,21,no
127,visitor_64,,2026-01-01T00:00:00,view,127,,no
128,,64,2026-01-01T00:00:00,add_to_cart,128,,no
129,visitor_65,,2026-01-01T00:00:00,delete_from_cart,129,,no
130,,65,2026-01-01T00:00:00,quantity,130,,yes
131,visitor_66,,2026-01-01T00:00:00,transaction,131,,no
132,,66,2026-01-01T00:00:00,refund_request,,22,no
133,visitor_67,,2026-01-01T00:00:00,view,133,,no
134,,67,2026-01-01T00:00:00,add_to_cart,134,,no
135,visitor_68,,2026-01-01T00:00:00,delete_from_cart,135,,yes
136,,68,2026-01-01T00:00:00,quantity,136,,no
137,visitor_69,,2026-01-01T00:00:00,transaction,137,,no
138,,69,2026-01-01T00:00:00,refund_request,,23,no
139,visitor_70,,2026-01-01T00:00:00,view,139,,no
140,,70,2026-01-01T00:00:00,add_to_cart,140,,yes
141,visitor_71,,2026-01-01T00:00:00,delete_from_cart,141,,no
142,,71,2026-01-01T00:00:00,quantity,142,,no
143,visitor_72,,2026-01-01T00:00:00,transaction,143,,no
144,,72,2026-01-01T00:00:00,refund_request,,24,no
145,visitor_73,,2026-01-01T00:00:00,view,145,,no
146,,73,2026-01-01T00:00:00,add_to_cart,146,,no
147,visitor_74,,2026-01-01T00:00:00,delete_from_cart,147,,no
148,,74,2026-01-01T00:00:00,quantity,148,,yes
149,visitor_75,,2026-01-01T00:00:00,transaction,149,,no
150,,75,2026-01-01T00:00:00,refund_request,,25,yes
151,visitor_76,,2026-01-01T00:00:00,view,151,,no
152,,76,2026-01-01T00:00:00,add_to_cart,152,,no
153,visitor_77,,2026-01-01T00:00:00,delete_from_cart,153,,no
154,,77,2026-01-01T00:00:00,quantity,154,,no
155,visitor_78,,2026-01-01T00:00:00,transaction,155,,yes
156,,78,2026-01-01T00:00:00,refund_request,,26,no
157,visitor_79,,2026-01-01T00:00:00,view,157,,no
